eBird.English.Name,eBird.Scientific.Name,Resident,Strictly.Altitudinal.Migrant,Summer.Visitor,Winter.Visitor,Strictly.Passage,Uncertain.Vagrant,Breeding.Range.Mostly.Outside
Coppersmith Barbet,Psilopogon haemacephalus,1,NA,NA,NA,NA,NA,NA
Coral-billed Scimitar-Babbler,Pomatorhinus ferruginosus,1,NA,NA,NA,NA,NA,NA
Corn Crake,Crex crex,NA,NA,NA,NA,NA,1,NA
Cory's Shearwater,Calonectris diomedea,NA,NA,NA,NA,NA,1,NA
Cotton Pygmy-Goose,Nettapus coromandelianus,1,NA,NA,NA,NA,NA,NA
Crab-Plover,Dromas ardeola,NA,NA,NA,1,NA,NA,NA
Cream-colored Courser,Cursorius cursor,1,NA,NA,NA,NA,NA,NA
Crested Bunting,Emberiza lathami,NA,NA,1,1,NA,NA,NA
Crested Finchbill,Spizixos canifrons,1,NA,NA,NA,NA,NA,NA
Crested Goshawk,Accipiter trivirgatus,1,NA,NA,NA,NA,NA,NA
Crested Kingfisher,Megaceryle lugubris,1,1,NA,NA,NA,NA,NA
Crested Lark,Galerida cristata,1,NA,NA,NA,NA,NA,NA
Crested Serpent-Eagle,Spilornis cheela,1,NA,NA,NA,NA,NA,NA
Crested Tit-Warbler,Leptopoecile elegans,NA,NA,NA,NA,NA,1,NA
Crested Treeswift,Hemiprocne coronata,1,NA,NA,NA,NA,NA,NA
Crimson-backed Sunbird,Leptocoma minima,1,NA,NA,NA,NA,NA,NA
Crimson-breasted Woodpecker,Dryobates cathpharius,1,NA,NA,NA,NA,NA,NA
Crimson-browed Finch,Carpodacus subhimachalus,1,1,NA,NA,NA,NA,NA
Crimson-winged Finch,Rhodopechys sanguineus,NA,NA,NA,NA,NA,1,NA
Crimson Sunbird,Aethopyga siparaja,1,NA,NA,NA,NA,NA,NA
Crow-billed Drongo,Dicrurus annectens,NA,NA,1,1,NA,NA,NA
Curlew Sandpiper,Calidris ferruginea,NA,NA,NA,1,NA,NA,NA
Dalmatian Pelican,Pelecanus crispus,NA,NA,NA,1,NA,NA,NA
Darjeeling Woodpecker,Dendrocopos darjellensis,1,NA,NA,NA,NA,NA,NA
Dark-breasted Rosefinch,Procarduelis nipalensis,1,1,NA,NA,NA,NA,NA
Dark-fronted Babbler,Rhopocichla atriceps,1,NA,NA,NA,NA,NA,NA
Dark-necked Tailorbird,Orthotomus atrogularis,1,NA,NA,NA,NA,NA,NA
Dark-rumped Rosefinch,Carpodacus edwardsii,1,1,NA,NA,NA,NA,NA
Dark-rumped Swift,Apus acuticauda,1,NA,NA,NA,NA,NA,NA
Dark-sided Flycatcher,Muscicapa sibirica,NA,NA,1,1,NA,NA,NA
Dark-sided Thrush,Zoothera marginata,1,1,NA,NA,NA,NA,NA
Daurian Redstart,Phoenicurus auroreus,NA,NA,NA,1,NA,NA,NA
Daurian Starling,Agropsar sturninus,NA,NA,NA,1,NA,NA,NA
Demoiselle Crane,Anthropoides virgo,NA,NA,NA,1,NA,NA,NA
Derbyan Parakeet,Psittacula derbiana,1,NA,1,NA,NA,NA,NA
Desert Finch,Rhodospiza obsoleta,NA,NA,NA,NA,NA,1,NA
Desert Lark,Ammomanes deserti,1,NA,NA,NA,NA,NA,NA
Desert Wheatear,Oenanthe deserti,NA,NA,1,1,NA,NA,1
Dollarbird,Eurystomus orientalis,1,NA,NA,NA,NA,NA,NA
Dunlin,Calidris alpina,NA,NA,NA,1,NA,NA,NA
Dusky Crag-Martin,Ptyonoprogne concolor,1,NA,NA,NA,NA,NA,NA
Dusky Eagle-Owl,Bubo coromandus,1,NA,NA,NA,NA,NA,NA
Dusky Thrush,Turdus eunomus,NA,NA,NA,1,NA,NA,NA
Dusky Warbler,Phylloscopus fuscatus,NA,NA,NA,1,NA,NA,NA
Eared Grebe,Podiceps nigricollis,NA,NA,NA,1,NA,NA,NA
Eastern Marsh-Harrier,Circus spilonotus,NA,NA,NA,1,NA,NA,NA
Eastern Orphean Warbler,Sylvia crassirostris,NA,NA,NA,1,NA,NA,NA
Eastern Spot-billed Duck,Anas zonorhyncha,NA,NA,NA,NA,NA,1,NA
Eastern Yellow Wagtail,Motacilla tschutschensis,NA,NA,NA,1,NA,NA,NA
Egyptian Vulture,Neophron percnopterus,1,NA,NA,NA,NA,NA,NA
Elliot's Laughingthrush,Trochalopteron elliotii,1,NA,NA,NA,NA,NA,NA
Eurasian Collared-Dove,Streptopelia decaocto,1,NA,NA,NA,NA,NA,NA
Eurasian Coot,Fulica atra,1,NA,NA,1,NA,NA,NA
Eurasian Crag-Martin,Ptyonoprogne rupestris,1,NA,1,1,NA,NA,NA
Eurasian Curlew,Numenius arquata,NA,NA,NA,1,NA,NA,NA
Eurasian Eagle-Owl,Bubo bubo,1,NA,NA,NA,NA,NA,NA
Eurasian Golden Oriole,Oriolus oriolus,NA,NA,NA,NA,NA,1,NA
Eurasian Griffon,Gyps fulvus,NA,NA,NA,1,NA,NA,NA
Eurasian Hobby,Falco subbuteo,NA,NA,1,1,NA,NA,1
Eurasian Hoopoe,Upupa epops,1,NA,1,1,NA,NA,NA
Eurasian Jackdaw,Corvus monedula,1,NA,1,1,NA,NA,1
Eurasian Jay,Garrulus glandarius,1,1,NA,NA,NA,NA,NA
Eurasian Kestrel,Falco tinnunculus,1,NA,1,1,NA,NA,NA
Eurasian Linnet,Linaria cannabina,NA,NA,NA,1,NA,NA,NA
Eurasian Magpie,Pica pica,1,NA,NA,NA,NA,NA,NA
Eurasian Marsh-Harrier,Circus aeruginosus,NA,NA,NA,1,NA,NA,NA
Eurasian Moorhen,Gallinula chloropus,1,NA,NA,1,NA,NA,NA
Eurasian Nightjar,Caprimulgus europaeus,NA,NA,NA,NA,1,NA,NA
Eurasian Nutcracker,Nucifraga caryocatactes,1,NA,NA,NA,NA,NA,NA
Eurasian Oystercatcher,Haematopus ostralegus,NA,NA,NA,1,NA,NA,NA
Eurasian Scops-Owl,Otus scops,NA,NA,NA,1,NA,NA,NA
Eurasian Siskin,Spinus spinus,NA,NA,NA,NA,NA,1,NA
Eurasian Skylark,Alauda arvensis,NA,NA,NA,1,NA,NA,NA
Eurasian Sparrowhawk,Accipiter nisus,1,NA,1,1,NA,NA,NA
Eurasian Spoonbill,Platalea leucorodia,1,NA,NA,1,NA,NA,NA
Eurasian Tree Sparrow,Passer montanus,1,1,NA,NA,NA,NA,NA
Eurasian Wigeon,Mareca penelope,NA,NA,NA,1,NA,NA,NA
Eurasian Woodcock,Scolopax rusticola,NA,NA,1,1,NA,NA,NA
Eurasian Wren,Troglodytes troglodytes,1,1,NA,NA,NA,NA,NA
Eurasian Wryneck,Jynx torquilla,NA,NA,NA,1,NA,NA,NA
European Bee-eater,Merops apiaster,NA,NA,NA,1,NA,NA,NA
European Golden-Plover,Pluvialis apricaria,NA,NA,NA,1,NA,NA,NA
European Goldfinch,Carduelis carduelis,1,1,NA,NA,NA,NA,NA
European Honey-buzzard,Pernis apivorus,NA,NA,NA,1,NA,1,NA
European Roller,Coracias garrulus,NA,NA,NA,NA,1,NA,NA
European Starling,Sturnus vulgaris,NA,NA,1,1,NA,NA,1
European Turtle-Dove,Streptopelia turtur,NA,NA,NA,NA,NA,1,NA
Eyebrowed Thrush,Turdus obscurus,NA,NA,NA,1,NA,NA,NA
Eyebrowed Wren-Babbler,Napothera epilepidota,1,1,NA,NA,NA,NA,NA
Falcated Duck,Mareca falcata,NA,NA,NA,1,NA,NA,NA
Ferruginous Duck,Aythya nyroca,NA,NA,NA,1,NA,NA,NA
Ferruginous Flycatcher,Muscicapa ferruginea,NA,NA,1,NA,NA,NA,NA
Fieldfare,Turdus pilaris,NA,NA,NA,NA,NA,1,NA
Finn's Weaver,Ploceus megarhynchus,1,NA,NA,NA,NA,NA,NA
Finsch's Wheatear,Oenanthe finschii,NA,NA,NA,NA,NA,1,NA
Fire-breasted Flowerpecker,Dicaeum ignipectus,1,1,NA,NA,NA,NA,NA
Fire-capped Tit,Cephalopyrus flammiceps,1,NA,1,1,NA,NA,NA
Fire-fronted Serin,Serinus pusillus,1,1,NA,NA,NA,NA,NA
Fire-tailed Myzornis,Myzornis pyrrhoura,1,1,NA,NA,NA,NA,NA
Fire-tailed Sunbird,Aethopyga ignicauda,1,1,NA,NA,NA,NA,NA
Firethroat,Calliope pectardens,NA,NA,NA,NA,1,1,NA
Flame-throated Bulbul,Rubigula gularis,1,NA,NA,NA,NA,NA,NA
Flavescent Bulbul,Pycnonotus flavescens,1,NA,NA,NA,NA,NA,NA
Flesh-footed Shearwater,Ardenna carneipes,NA,NA,1,NA,NA,NA,NA
Forest Owlet,Athene blewitti,1,NA,NA,NA,NA,NA,NA
Forest Wagtail,Dendronanthus indicus,NA,NA,NA,1,NA,NA,NA
Fork-tailed Drongo-Cuckoo,Surniculus dicruroides,1,NA,1,1,NA,NA,NA
Franklin's Gull,Leucophaeus pipixcan,NA,NA,NA,NA,NA,1,NA
Freckle-breasted Woodpecker,Dendrocopos analis,1,NA,NA,NA,NA,NA,NA
Fulvous-breasted Woodpecker,Dendrocopos macei,1,NA,NA,NA,NA,NA,NA
Fulvous Parrotbill,Suthora fulvifrons,1,NA,NA,NA,NA,NA,NA
Fulvous Whistling-Duck,Dendrocygna bicolor,1,NA,NA,NA,NA,NA,NA
Gadwall,Mareca strepera,NA,NA,NA,1,NA,NA,NA
Garden Warbler,Sylvia borin,NA,NA,NA,NA,NA,1,NA
Garganey,Spatula querquedula,NA,NA,NA,1,NA,NA,NA
Glossy Ibis,Plegadis falcinellus,1,NA,NA,NA,NA,NA,NA
Godlewski's Bunting,Emberiza godlewskii,1,1,NA,NA,NA,NA,NA
Gold-naped Finch,Pyrrhoplectes epauletta,1,1,NA,NA,NA,NA,NA
Goldcrest,Regulus regulus,1,1,NA,NA,NA,NA,NA
Golden-breasted Fulvetta,Lioparus chrysotis,1,1,NA,NA,NA,NA,NA
Golden-crested Myna,Ampeliceps coronatus,1,NA,NA,NA,NA,NA,NA
Golden-fronted Leafbird,Chloropsis aurifrons,1,NA,NA,NA,NA,NA,NA
Golden-headed Cisticola,Cisticola exilis,1,NA,NA,NA,NA,NA,NA
Golden-throated Barbet,Psilopogon franklinii,1,NA,NA,NA,NA,NA,NA
Golden Babbler,Cyanoderma chrysaeum,1,NA,NA,NA,NA,NA,NA
Golden Bush-Robin,Tarsiger chrysaeus,1,1,NA,NA,NA,NA,NA
Golden Eagle,Aquila chrysaetos,1,1,NA,NA,NA,NA,NA
Goliath Heron,Ardea goliath,NA,NA,NA,NA,NA,1,NA
Gould's Shortwing,Brachypteryx stellata,1,1,NA,NA,NA,NA,NA
Graceful Prinia,Prinia gracilis,1,NA,NA,NA,NA,NA,NA
Grandala,Grandala coelicolor,1,1,NA,NA,NA,NA,NA
Gray-backed Shrike,Lanius tephronotus,NA,NA,1,1,NA,NA,1
Gray-bellied Cuckoo,Cacomantis passerinus,1,NA,NA,NA,NA,NA,NA
Gray-bellied Tesia,Tesia cyaniventer,1,1,NA,NA,NA,NA,NA
Gray-bellied Wren-Babbler,Spelaeornis reptatus,1,NA,NA,NA,NA,NA,NA
Gray-breasted Prinia,Prinia hodgsonii,1,NA,NA,NA,NA,NA,NA
Gray-capped Woodpecker,Yungipicus canicapillus,1,1,NA,NA,NA,NA,NA
Gray-cheeked Warbler,Phylloscopus poliogenys,1,1,NA,NA,NA,NA,NA
Gray-chinned Minivet,Pericrocotus solaris,1,1,NA,NA,NA,NA,NA
Gray-crested Tit,Lophophanes dichrous,1,1,NA,NA,NA,NA,NA
Gray-crowned Prinia,Prinia cinereocapilla,1,NA,NA,NA,NA,NA,NA
Gray-crowned Warbler,Phylloscopus tephrocephalus,NA,NA,1,NA,NA,NA,NA
Gray-faced Buzzard,Butastur indicus,NA,NA,NA,NA,NA,1,NA
Gray-fronted Green-Pigeon,Treron affinis,1,NA,NA,NA,NA,NA,NA
Gray-headed Bulbul,Brachypodius priocephalus,1,NA,NA,NA,NA,NA,NA
Gray-headed Bullfinch,Pyrrhula erythaca,1,1,NA,NA,NA,NA,NA
Gray-headed Canary-Flycatcher,Culicicapa ceylonensis,NA,NA,1,1,NA,NA,NA
Gray-headed Fish-Eagle,Haliaeetus ichthyaetus,1,NA,NA,NA,NA,NA,NA
Gray-headed Lapwing,Vanellus cinereus,NA,NA,NA,1,NA,NA,NA
Gray-headed Parakeet,Psittacula finschii,1,1,NA,NA,NA,NA,NA
Gray-headed Parrotbill,Psittiparus gularis,1,NA,NA,NA,NA,NA,NA
Gray-headed Swamphen,Porphyrio poliocephalus,1,NA,NA,NA,NA,NA,NA
Gray-headed Woodpecker,Picus canus,1,NA,NA,NA,NA,NA,NA
Gray-hooded Warbler,Phylloscopus xanthoschistos,1,1,NA,NA,NA,NA,NA
Gray-necked Bunting,Emberiza buchanani,NA,NA,NA,1,NA,NA,NA
Gray-sided Bush Warbler,Cettia brunnifrons,1,1,NA,NA,NA,NA,NA
Gray-sided Laughingthrush,Ianthocincla caerulata,1,NA,NA,NA,NA,NA,NA
Gray-sided Thrush,Turdus feae,NA,NA,NA,1,NA,NA,NA
Gray-tailed Tattler,Tringa brevipes,NA,NA,NA,NA,NA,1,NA
Gray-throated Babbler,Stachyris nigriceps,1,1,NA,NA,NA,NA,NA
Gray-throated Martin,Riparia chinensis,1,NA,NA,NA,NA,NA,NA
Gray-winged Blackbird,Turdus boulboul,1,1,NA,NA,NA,NA,NA
Gray Bushchat,Saxicola ferreus,1,1,NA,NA,NA,NA,NA
Gray Francolin,Francolinus pondicerianus,1,NA,NA,NA,NA,NA,NA
Gray Heron,Ardea cinerea,1,NA,NA,NA,NA,NA,NA
Gray Junglefowl,Gallus sonneratii,1,NA,NA,NA,NA,NA,NA
Gray Nightjar,Caprimulgus jotaka,1,NA,1,NA,NA,NA,NA
Gray Peacock-Pheasant,Polyplectron bicalcaratum,1,NA,NA,NA,NA,NA,NA
Gray Sibia,Heterophasia gracilis,1,1,NA,NA,NA,NA,NA
Gray Treepie,Dendrocitta formosae,1,1,NA,NA,NA,NA,NA
Gray Wagtail,Motacilla cinerea,NA,NA,1,1,NA,NA,1
Graylag Goose,Anser anser,NA,NA,NA,1,NA,NA,NA
Great Barbet,Psilopogon virens,1,1,NA,NA,NA,NA,NA
Great Bittern,Botaurus stellaris,NA,NA,NA,1,NA,NA,NA
Great Cormorant,Phalacrocorax carbo,1,NA,NA,1,NA,NA,NA
Great Crested Grebe,Podiceps cristatus,1,NA,NA,1,NA,NA,1
Great Crested Tern,Thalasseus bergii,1,NA,NA,NA,NA,NA,NA
Great Eared-Nightjar,Lyncornis macrotis,1,NA,NA,NA,NA,NA,NA
Great Egret,Ardea alba,1,NA,NA,NA,NA,NA,NA
Great Frigatebird,Fregata minor,NA,NA,NA,NA,NA,1,NA
Great Gray Shrike,Lanius excubitor,1,NA,NA,1,NA,NA,NA
Great Hornbill,Buceros bicornis,1,NA,NA,NA,NA,NA,NA
Great Indian Bustard,Ardeotis nigriceps,1,NA,NA,NA,NA,NA,NA
Great Knot,Calidris tenuirostris,NA,NA,NA,1,NA,NA,NA
Great Myna,Acridotheres grandis,1,NA,NA,NA,NA,NA,NA
Great Parrotbill,Conostoma aemodium,1,NA,NA,NA,NA,NA,NA
Great Reed Warbler,Acrocephalus arundinaceus,NA,NA,NA,NA,NA,1,NA
Great Rosefinch,Carpodacus rubicilla,1,1,NA,NA,NA,NA,NA
Great Slaty Woodpecker,Mulleripicus pulverulentus,1,NA,NA,NA,NA,NA,NA
Great Snipe,Gallinago media,NA,NA,NA,NA,NA,1,NA
Great Spotted Woodpecker,Dendrocopos major,1,NA,NA,NA,NA,NA,NA
Great Thick-knee,Esacus recurvirostris,1,NA,NA,NA,NA,NA,NA
Great White Pelican,Pelecanus onocrotalus,NA,NA,NA,1,NA,NA,NA
Greater Adjutant,Leptoptilos dubius,1,NA,NA,NA,NA,NA,NA
Greater Coucal,Centropus sinensis,1,NA,NA,NA,NA,NA,NA
Greater Flameback,Chrysocolaptes guttacristatus,1,NA,NA,NA,NA,NA,NA
Greater Flamingo,Phoenicopterus roseus,1,NA,1,1,NA,NA,NA
Greater Hoopoe-Lark,Alaemon alaudipes,1,NA,NA,NA,NA,NA,NA
Greater Necklaced Laughingthrush,Ianthocincla pectoralis,1,NA,NA,NA,NA,NA,NA
Greater Painted-Snipe,Rostratula benghalensis,1,NA,NA,NA,NA,NA,NA
Greater Racket-tailed Drongo,Dicrurus paradiseus,1,NA,NA,NA,NA,NA,NA
Greater Sand-Plover,Charadrius leschenaultii,NA,NA,NA,1,NA,NA,NA
Greater Scaup,Aythya marila,NA,NA,NA,1,NA,NA,NA
Greater Short-toed Lark,Calandrella brachydactyla,NA,NA,NA,1,NA,NA,NA
Greater Spotted Eagle,Clanga clanga,NA,NA,NA,1,NA,NA,NA
Greater White-fronted Goose,Anser albifrons,NA,NA,NA,1,NA,NA,NA
Greater Whitethroat,Sylvia communis,NA,NA,NA,NA,1,NA,NA
Greater Yellownape,Chrysophlegma flavinucha,1,NA,NA,NA,NA,NA,NA
Green-backed Tit,Parus monticolus,1,1,NA,NA,NA,NA,NA
Green-billed Malkoha,Phaenicophaeus tristis,1,NA,NA,NA,NA,NA,NA
Green-crowned Warbler,Phylloscopus burkii,NA,NA,1,1,NA,NA,NA
Green-tailed Sunbird,Aethopyga nipalensis,1,1,NA,NA,NA,NA,NA
Green-winged Teal,Anas crecca,NA,NA,NA,1,NA,NA,NA
Green Avadavat,Sporaeginthus formosus,1,NA,NA,NA,NA,NA,NA
Green Bee-eater,Merops orientalis,1,NA,NA,NA,NA,NA,NA
Green Cochoa,Cochoa viridis,1,1,NA,NA,NA,NA,NA
Green Imperial-Pigeon,Ducula aenea,1,NA,NA,NA,NA,NA,NA
Green Peafowl,Pavo muticus,NA,NA,NA,NA,NA,1,NA
Green Sandpiper,Tringa ochropus,NA,NA,NA,1,NA,NA,NA
Green Shrike-Babbler,Pteruthius xanthochlorus,1,NA,NA,NA,NA,NA,NA
Green Warbler,Phylloscopus nitidus,NA,NA,NA,1,NA,NA,NA
Greenish Warbler,Phylloscopus trochiloides,NA,NA,1,1,NA,NA,1
Ground Tit,Pseudopodoces humilis,1,NA,NA,NA,NA,NA,NA
Gull-billed Tern,Gelochelidon nilotica,NA,NA,1,1,NA,NA,NA
Hair-crested Drongo,Dicrurus hottentottus,1,NA,NA,1,NA,NA,NA
Hawfinch,Coccothraustes coccothraustes,NA,NA,NA,1,NA,NA,NA
Heart-spotted Woodpecker,Hemicircus canente,1,NA,NA,NA,NA,NA,NA
Hen Harrier,Circus cyaneus,NA,NA,NA,1,NA,NA,NA
Herring Gull,Larus argentatus,NA,NA,NA,NA,NA,1,NA
Hill Blue Flycatcher,Cyornis banyumas,1,NA,NA,NA,NA,NA,NA
Hill Partridge,Arborophila torqueola,1,NA,NA,NA,NA,NA,NA
Hill Pigeon,Columba rupestris,1,NA,NA,NA,NA,NA,NA
Hill Prinia,Prinia superciliaris,1,NA,NA,NA,NA,NA,NA
Hill Swallow,Hirundo domicola,1,NA,NA,NA,NA,NA,NA
Himalayan Beautiful Rosefinch,Carpodacus pulcherrimus,1,1,NA,NA,NA,NA,NA
Himalayan Black-lored Tit,Machlolophus xanthogenys,1,1,NA,NA,NA,NA,NA
Himalayan Bluetail,Tarsiger rufilatus,1,1,NA,NA,NA,NA,NA
Himalayan Bulbul,Pycnonotus leucogenys,1,NA,NA,NA,NA,NA,NA
Himalayan Buzzard,Buteo refectus,1,1,NA,NA,NA,NA,NA
Himalayan Cuckoo,Cuculus saturatus,NA,NA,1,1,NA,NA,NA
Himalayan Cutia,Cutia nipalensis,1,NA,NA,NA,NA,NA,NA
Himalayan Flameback,Dinopium shorii,1,NA,NA,NA,NA,NA,NA
Himalayan Griffon,Gyps himalayensis,1,NA,NA,1,NA,NA,NA
Himalayan Monal,Lophophorus impejanus,1,1,NA,NA,NA,NA,NA
Himalayan Owl,Strix nivicolum,1,1,NA,NA,NA,NA,NA
Himalayan Quail,Ophrysia superciliosa,1,NA,NA,NA,NA,NA,NA
Himalayan Rubythroat,Calliope pectoralis,1,1,NA,NA,NA,NA,NA
Himalayan Shortwing,Brachypteryx cruralis,1,1,NA,NA,NA,NA,NA
Himalayan Shrike-Babbler,Pteruthius ripleyi,1,1,NA,NA,NA,NA,NA
Himalayan Snowcock,Tetraogallus himalayensis,1,1,NA,NA,NA,NA,NA
Himalayan Swiftlet,Aerodramus brevirostris,1,NA,NA,NA,NA,NA,NA
Himalayan Thrush,Zoothera salimalii,1,1,NA,NA,NA,NA,NA
Himalayan White-browed Rosefinch,Carpodacus thura,1,1,NA,NA,NA,NA,NA
Himalayan Woodpecker,Dendrocopos himalayensis,1,1,NA,NA,NA,NA,NA
Hoary-throated Barwing,Actinodura nipalensis,1,1,NA,NA,NA,NA,NA
Hodgson's Frogmouth,Batrachostomus hodgsoni,1,NA,NA,NA,NA,NA,NA
Hodgson's Hawk-Cuckoo,Hierococcyx nisicolor,1,NA,1,NA,NA,NA,NA
Hodgson's Redstart,Phoenicurus hodgsoni,NA,NA,NA,1,NA,NA,NA
Hodgson's Treecreeper,Certhia hodgsoni,1,1,NA,NA,NA,NA,NA
Hooded Crow,Corvus cornix,NA,NA,NA,NA,NA,1,NA
Hooded Pitta,Pitta sordida,NA,NA,1,NA,NA,NA,NA
Horned Grebe,Podiceps auritus,NA,NA,NA,NA,NA,1,NA
Horned Lark,Eremophila alpestris,1,NA,1,1,NA,NA,NA
Horsfield's Bronze-Cuckoo,Chrysococcyx basalis,NA,NA,NA,NA,NA,1,NA
House Crow,Corvus splendens,1,NA,NA,NA,NA,NA,NA
House Sparrow,Passer domesticus,1,NA,NA,1,NA,NA,NA
House Swift,Apus nipalensis,1,NA,NA,NA,NA,NA,NA
Hume's Boobook,Ninox obscura,1,NA,NA,NA,NA,NA,NA
Hume's Bush Warbler,Horornis brunnescens,1,1,NA,NA,NA,NA,NA
Hume's Lark,Calandrella acutirostris,NA,NA,1,1,NA,NA,NA
Hume's Pheasant,Syrmaticus humiae,1,NA,NA,NA,NA,NA,NA
Hume's Treecreeper,Certhia manipurensis,1,NA,NA,NA,NA,NA,NA
Hume's Warbler,Phylloscopus humei,NA,NA,1,1,NA,NA,1
Hume's Wheatear,Oenanthe albonigra,NA,NA,NA,NA,NA,1,NA
Hypocolius,Hypocolius ampelinus,NA,NA,NA,1,NA,NA,NA
Ibisbill,Ibidorhyncha struthersii,NA,NA,1,1,NA,NA,NA
Immaculate Cupwing,Pnoepyga immaculata,1,1,NA,NA,NA,NA,NA
Imperial Eagle,Aquila heliaca,NA,NA,NA,1,NA,NA,NA
Indian Blackbird,Turdus simillimus,1,NA,1,1,NA,NA,NA
Indian Blue Robin,Larvivora brunnea,NA,NA,1,1,NA,NA,NA
Indian Bushlark,Mirafra erythroptera,1,NA,NA,NA,NA,NA,NA
Indian Cormorant,Phalacrocorax fuscicollis,1,NA,NA,NA,NA,NA,NA
Indian Courser,Cursorius coromandelicus,1,NA,NA,NA,NA,NA,NA
Indian Cuckoo,Cuculus micropterus,1,NA,1,NA,NA,NA,NA
Indian Golden Oriole,Oriolus kundoo,NA,NA,1,1,NA,NA,NA
Indian Grassbird,Graminicola bengalensis,1,NA,NA,NA,NA,NA,NA
Indian Gray Hornbill,Ocyceros birostris,1,NA,NA,NA,NA,NA,NA
Indian Nightjar,Caprimulgus asiaticus,1,NA,NA,NA,NA,NA,NA
Indian Nuthatch,Sitta castanea,1,NA,NA,NA,NA,NA,NA
Indian Paradise-Flycatcher,Terpsiphone paradisi,NA,NA,1,1,NA,NA,NA
Indian Peafowl,Pavo cristatus,1,NA,NA,NA,NA,NA,NA
Indian Pitta,Pitta brachyura,NA,NA,1,1,NA,NA,NA
Indian Pond-Heron,Ardeola grayii,1,NA,NA,NA,NA,NA,NA
Indian Robin,Copsychus fulicatus,1,NA,NA,NA,NA,NA,NA
Indian Roller,Coracias benghalensis,1,NA,NA,NA,NA,NA,NA
Indian Scimitar-Babbler,Pomatorhinus horsfieldii,1,NA,NA,NA,NA,NA,NA
Indian Scops-Owl,Otus bakkamoena,1,NA,NA,NA,NA,NA,NA
Indian Silverbill,Euodice malabarica,1,NA,NA,NA,NA,NA,NA
Indian Skimmer,Rynchops albicollis,1,NA,1,1,NA,NA,NA
Indian Spot-billed Duck,Anas poecilorhyncha,1,NA,NA,NA,NA,NA,NA
Indian Spotted Creeper,Salpornis spilonota,1,NA,NA,NA,NA,NA,NA
Indian Spotted Eagle,Clanga hastata,1,NA,NA,NA,NA,NA,NA
Indian Swiftlet,Aerodramus unicolor,1,NA,NA,NA,NA,NA,NA
Indian Thick-knee,Burhinus indicus,1,NA,NA,NA,NA,NA,NA
Indian Vulture,Gyps indicus,1,NA,NA,NA,NA,NA,NA
Indian White-eye,Zosterops palpebrosus,1,NA,NA,NA,NA,NA,NA
Indian Yellow Tit,Machlolophus aplonotus,1,NA,NA,NA,NA,NA,NA
Indochinese Roller,Coracias affinis,1,NA,NA,NA,NA,NA,NA
Intermediate Egret,Ardea intermedia,1,NA,NA,NA,NA,NA,NA
Isabelline Shrike,Lanius isabellinus,NA,NA,NA,1,NA,NA,NA
Isabelline Wheatear,Oenanthe isabellina,NA,NA,NA,1,NA,NA,NA
Jack Snipe,Lymnocryptes minimus,NA,NA,NA,1,NA,NA,NA
Japanese Quail,Coturnix japonica,NA,NA,NA,1,NA,NA,NA
Japanese Sparrowhawk,Accipiter gularis,NA,NA,NA,1,NA,NA,NA
Javan Pond-Heron,Ardeola speciosa,NA,NA,NA,NA,NA,1,NA
Jerdon's Babbler,Chrysomma altirostre,1,NA,NA,NA,NA,NA,NA
Jerdon's Baza,Aviceda jerdoni,1,NA,NA,NA,NA,NA,NA
Jerdon's Bushchat,Saxicola jerdoni,1,NA,NA,NA,NA,NA,NA
Jerdon's Bushlark,Mirafra affinis,1,NA,NA,NA,NA,NA,NA
Jerdon's Courser,Rhinoptilus bitorquatus,1,NA,NA,NA,NA,NA,NA
Jerdon's Leafbird,Chloropsis jerdoni,1,NA,NA,NA,NA,NA,NA
Jerdon's Nightjar,Caprimulgus atripennis,1,NA,NA,NA,NA,NA,NA
Jouanin's Petrel,Bulweria fallax,NA,NA,NA,NA,NA,1,NA
Jungle Babbler,Turdoides striata,1,NA,NA,NA,NA,NA,NA
Jungle Bush-Quail,Perdicula asiatica,1,NA,NA,NA,NA,NA,NA
Jungle Myna,Acridotheres fuscus,1,NA,NA,NA,NA,NA,NA
Jungle Nightjar,Caprimulgus indicus,1,NA,NA,NA,NA,NA,NA
Jungle Owlet,Glaucidium radiatum,1,NA,NA,NA,NA,NA,NA
Jungle Prinia,Prinia sylvatica,1,NA,NA,NA,NA,NA,NA
Kalij Pheasant,Lophura leucomelanos,1,NA,NA,NA,NA,NA,NA
Kashmir Flycatcher,Ficedula subrubra,NA,NA,1,1,NA,NA,NA
Kashmir Nutcracker,Nucifraga multipunctata,1,1,NA,NA,NA,NA,NA
Kashmir Nuthatch,Sitta cashmirensis,1,1,NA,NA,NA,NA,NA
Kentish Plover,Charadrius alexandrinus,1,NA,1,1,NA,NA,NA
Knob-billed Duck,Sarkidiornis melanotos,1,NA,NA,NA,NA,NA,NA
Koklass Pheasant,Pucrasia macrolopha,1,1,NA,NA,NA,NA,NA
Laggar Falcon,Falco jugger,1,NA,NA,NA,NA,NA,NA
Lanceolated Warbler,Locustella lanceolata,NA,NA,NA,NA,NA,1,NA
Large-billed Crow,Corvus macrorhynchos,1,NA,NA,NA,NA,NA,NA
Large-billed Leaf Warbler,Phylloscopus magnirostris,NA,NA,1,1,NA,NA,1
Large-billed Reed Warbler,Acrocephalus orinus,NA,NA,NA,NA,1,NA,NA
