eBird.English.Name,eBird.Scientific.Name,Resident,Strictly.Altitudinal.Migrant,Summer.Visitor,Winter.Visitor,Strictly.Passage,Uncertain.Vagrant,Breeding.Range.Mostly.Outside
Barred Cuckoo-Dove,Macropygia unchall,1,NA,NA,NA,NA,NA,NA
Barred Warbler,Sylvia nisoria,NA,NA,NA,NA,NA,1,NA
Bay-backed Shrike,Lanius vittatus,1,NA,NA,NA,NA,NA,NA
Bay Woodpecker,Blythipicus pyrrhotis,1,1,NA,NA,NA,NA,NA
Baya Weaver,Ploceus philippinus,1,NA,NA,NA,NA,NA,NA
Beach Thick-knee,Esacus magnirostris,1,NA,NA,NA,NA,NA,NA
Bearded Vulture,Gypaetus barbatus,1,1,NA,NA,NA,NA,NA
Beautiful Nuthatch,Sitta formosa,1,NA,NA,NA,NA,NA,NA
Beautiful Sibia,Heterophasia pulchella,1,NA,NA,NA,NA,NA,NA
Bengal Bushlark,Mirafra assamica,1,NA,NA,NA,NA,NA,NA
Bengal Florican,Houbaropsis bengalensis,1,NA,NA,NA,NA,NA,NA
Besra,Accipiter virgatus,1,NA,NA,NA,NA,NA,NA
Bhutan Laughingthrush,Trochalopteron imbricatum,1,NA,NA,NA,NA,NA,NA
Bimaculated Lark,Melanocorypha bimaculata,NA,NA,NA,1,NA,NA,NA
Black-and-orange Flycatcher,Ficedula nigrorufa,1,NA,NA,NA,NA,NA,NA
Black-and-yellow Grosbeak,Mycerobas icterioides,1,1,NA,NA,NA,NA,NA
Black-backed Dwarf-Kingfisher,Ceyx erithaca,1,NA,1,1,NA,NA,NA
Black-backed Forktail,Enicurus immaculatus,1,NA,NA,NA,NA,NA,NA
Black-bellied Plover,Pluvialis squatarola,NA,NA,NA,1,NA,NA,NA
Black-bellied Sandgrouse,Pterocles orientalis,NA,NA,NA,1,NA,NA,NA
Black-bellied Storm-Petrel,Fregetta tropica,NA,NA,NA,NA,NA,1,NA
Black-bellied Tern,Sterna acuticauda,1,NA,1,1,NA,NA,NA
Black-breasted Parrotbill,Paradoxornis flavirostris,1,NA,NA,NA,NA,NA,NA
Black-breasted Thrush,Turdus dissimilis,1,1,NA,NA,NA,NA,NA
Black-breasted Weaver,Ploceus benghalensis,1,NA,NA,NA,NA,NA,NA
Black-browed Reed Warbler,Acrocephalus bistrigiceps,NA,NA,NA,1,NA,NA,NA
Black-browed Tit,Aegithalos iouschistos,1,1,NA,NA,NA,NA,NA
Black-capped Kingfisher,Halcyon pileata,1,NA,NA,1,NA,NA,NA
Black-chinned Babbler,Cyanoderma pyrrhops,1,NA,NA,NA,NA,NA,NA
Black-chinned Yuhina,Yuhina nigrimenta,1,NA,NA,NA,NA,NA,NA
Black-crested Bulbul,Rubigula flaviventris,1,NA,NA,NA,NA,NA,NA
Black-crowned Night-Heron,Nycticorax nycticorax,1,NA,NA,NA,NA,NA,NA
Black-crowned Sparrow-Lark,Eremopterix nigriceps,1,NA,NA,NA,NA,NA,NA
Black-eared Shrike-Babbler,Pteruthius melanotis,1,1,NA,NA,NA,NA,NA
Black-faced Bunting,Emberiza spodocephala,NA,NA,NA,1,NA,NA,NA
Black-faced Laughingthrush,Trochalopteron affine,1,1,NA,NA,NA,NA,NA
Black-faced Warbler,Abroscopus schisticeps,1,1,NA,NA,NA,NA,NA
Black-headed Bulbul,Brachypodius atriceps,1,NA,NA,NA,NA,NA,NA
Black-headed Bunting,Emberiza melanocephala,NA,NA,NA,1,NA,NA,NA
Black-headed Cuckooshrike,Lalage melanoptera,NA,NA,1,1,NA,NA,NA
Black-headed Greenfinch,Chloris ambigua,1,1,NA,NA,NA,NA,NA
Black-headed Gull,Chroicocephalus ridibundus,NA,NA,NA,1,NA,NA,NA
Black-headed Ibis,Threskiornis melanocephalus,1,NA,NA,NA,NA,NA,NA
Black-headed Jay,Garrulus lanceolatus,1,1,NA,NA,NA,NA,NA
Black-headed Mountain-Finch,Leucosticte brandti,1,1,NA,NA,NA,NA,NA
Black-headed Shrike-Babbler,Pteruthius rufiventer,1,1,NA,NA,NA,NA,NA
Black-hooded Oriole,Oriolus xanthornus,1,NA,NA,NA,NA,NA,NA
Black-legged Kittiwake,Rissa tridactyla,NA,NA,NA,NA,NA,1,NA
Black-naped Monarch,Hypothymis azurea,1,NA,NA,NA,NA,NA,NA
Black-naped Oriole,Oriolus chinensis,NA,NA,NA,1,NA,NA,NA
Black-naped Tern,Sterna sumatrana,1,NA,NA,NA,NA,NA,NA
Black-necked Crane,Grus nigricollis,NA,NA,1,NA,NA,NA,NA
Black-necked Stork,Ephippiorhynchus asiaticus,1,NA,NA,NA,NA,NA,NA
Black-rumped Flameback,Dinopium benghalense,1,NA,NA,NA,NA,NA,NA
Black-tailed Crake,Zapornia bicolor,1,NA,NA,NA,NA,NA,NA
Black-tailed Godwit,Limosa limosa,NA,NA,NA,1,NA,NA,NA
Black-throated Accentor,Prunella atrogularis,NA,NA,NA,1,NA,NA,NA
Black-throated Munia,Lonchura kelaarti,1,NA,NA,NA,NA,NA,NA
Black-throated Parrotbill,Suthora nipalensis,1,1,NA,NA,NA,NA,NA
Black-throated Prinia,Prinia atrogularis,1,NA,NA,NA,NA,NA,NA
Black-throated Sunbird,Aethopyga saturata,1,1,NA,NA,NA,NA,NA
Black-throated Thrush,Turdus atrogularis,NA,NA,NA,1,NA,NA,NA
Black-throated Tit,Aegithalos concinnus,1,1,NA,NA,NA,NA,NA
Black-winged Cuckooshrike,Lalage melaschistos,NA,NA,1,1,NA,NA,NA
Black-winged Kite,Elanus caeruleus,1,NA,NA,NA,NA,NA,NA
Black-winged Snowfinch,Montifringilla adamsi,1,1,NA,NA,NA,NA,NA
Black-winged Stilt,Himantopus himantopus,1,NA,1,1,NA,NA,NA
Black Baza,Aviceda leuphotes,1,NA,1,1,NA,NA,NA
Black Bittern,Ixobrychus flavicollis,1,NA,1,1,NA,NA,NA
Black Bulbul,Hypsipetes leucocephalus,1,1,NA,NA,NA,NA,NA
Black Drongo,Dicrurus macrocercus,1,NA,NA,NA,NA,NA,NA
Black Eagle,Ictinaetus malaiensis,1,NA,NA,NA,NA,NA,NA
Black Francolin,Francolinus francolinus,1,NA,NA,NA,NA,NA,NA
Black Kite,Milvus migrans,1,NA,NA,1,NA,NA,NA
Black Noddy,Anous minutus,NA,NA,NA,NA,NA,1,NA
Black Redstart,Phoenicurus ochruros,NA,NA,1,1,NA,NA,1
Black Stork,Ciconia nigra,NA,NA,NA,1,NA,NA,NA
Black Tern,Chlidonias niger,NA,NA,NA,NA,NA,1,NA
Blackish-breasted Babbler,Stachyris humei,1,NA,NA,NA,NA,NA,NA
Blanford's Rosefinch,Agraphospiza rubescens,1,1,NA,NA,NA,NA,NA
Blanford's Snowfinch,Montifringilla blanfordi,1,NA,NA,NA,NA,NA,NA
Blood Pheasant,Ithaginis cruentus,1,1,NA,NA,NA,NA,NA
Blossom-headed Parakeet,Psittacula roseata,1,NA,NA,NA,NA,NA,NA
Blue-and-white Flycatcher,Cyanoptila cyanomelana,NA,NA,NA,1,NA,NA,NA
Blue-bearded Bee-eater,Nyctyornis athertoni,1,NA,NA,NA,NA,NA,NA
Blue-breasted Quail,Synoicus chinensis,1,NA,NA,NA,NA,NA,NA
Blue-capped Redstart,Phoenicurus coeruleocephala,1,1,NA,NA,NA,NA,NA
Blue-capped Rock-Thrush,Monticola cinclorhyncha,NA,NA,1,1,NA,NA,NA
Blue-cheeked Bee-eater,Merops persicus,NA,NA,1,NA,NA,NA,NA
Blue-eared Barbet,Psilopogon duvaucelii,1,NA,NA,NA,NA,NA,NA
Blue-eared Kingfisher,Alcedo meninting,1,NA,NA,NA,NA,NA,NA
Blue-faced Malkoha,Phaenicophaeus viridirostris,1,NA,NA,NA,NA,NA,NA
Blue-fronted Redstart,Phoenicurus frontalis,1,1,NA,NA,NA,NA,NA
Blue-fronted Robin,Cinclidium frontale,1,1,NA,NA,NA,NA,NA
Blue-naped Pitta,Hydrornis nipalensis,1,NA,NA,NA,NA,NA,NA
Blue-tailed Bee-eater,Merops philippinus,1,NA,1,1,NA,NA,NA
Blue-throated Barbet,Psilopogon asiaticus,1,NA,NA,NA,NA,NA,NA
Blue-throated Bee-eater,Merops viridis,NA,NA,NA,NA,NA,1,NA
Blue-throated Flycatcher,Cyornis rubeculoides,NA,NA,1,1,NA,NA,NA
Blue-winged Laughingthrush,Trochalopteron squamatum,1,1,NA,NA,NA,NA,NA
Blue-winged Leafbird,Chloropsis cochinchinensis,1,NA,NA,NA,NA,NA,NA
Blue-winged Minla,Actinodura cyanouroptera,1,1,NA,NA,NA,NA,NA
Blue-winged Pitta,Pitta moluccensis,NA,NA,NA,NA,NA,1,NA
Blue Pitta,Hydrornis cyaneus,NA,1,NA,NA,NA,NA,NA
Blue Rock-Thrush,Monticola solitarius,NA,NA,1,1,NA,NA,1
Blue Whistling-Thrush,Myophonus caeruleus,1,1,NA,NA,NA,NA,NA
Bluethroat,Luscinia svecica,NA,NA,1,1,NA,NA,1
Blunt-winged Warbler,Acrocephalus concinens,NA,NA,1,1,NA,NA,1
Blyth's Kingfisher,Alcedo hercules,1,NA,NA,NA,NA,NA,NA
Blyth's Leaf Warbler,Phylloscopus reguloides,1,NA,1,1,NA,NA,NA
Blyth's Paradise-Flycatcher,Terpsiphone affinis,1,NA,NA,1,NA,NA,NA
Blyth's Pipit,Anthus godlewskii,NA,NA,NA,1,NA,NA,NA
Blyth's Reed Warbler,Acrocephalus dumetorum,NA,NA,NA,1,NA,NA,NA
Blyth's Rosefinch,Carpodacus grandis,1,NA,NA,NA,NA,NA,1
Blyth's Shrike-Babbler,Pteruthius aeralatus,1,1,NA,NA,NA,NA,NA
Blyth's Swift,Apus leuconyx,NA,NA,1,1,NA,NA,NA
Blyth's Tragopan,Tragopan blythii,1,1,NA,NA,NA,NA,NA
Bohemian Waxwing,Bombycilla garrulus,NA,NA,NA,NA,NA,1,NA
Bonelli's Eagle,Aquila fasciata,1,NA,NA,NA,NA,NA,NA
Booted Eagle,Hieraaetus pennatus,NA,NA,NA,1,NA,NA,NA
Booted Warbler,Iduna caligata,NA,NA,NA,1,NA,NA,NA
Boreal Owl,Aegolius funereus,1,NA,NA,NA,NA,NA,NA
Brahminy Kite,Haliastur indus,1,NA,NA,NA,NA,NA,NA
Brahminy Starling,Sturnia pagodarum,1,NA,NA,NA,NA,NA,NA
Brambling,Fringilla montifringilla,NA,NA,NA,1,NA,NA,NA
Bridled Tern,Onychoprion anaethetus,1,NA,NA,1,NA,NA,NA
Bristled Grassbird,Chaetornis striata,NA,NA,1,1,NA,NA,NA
Broad-billed Sandpiper,Calidris falcinellus,NA,NA,NA,1,NA,NA,NA
Broad-billed Warbler,Tickellia hodgsoni,1,1,NA,NA,NA,NA,NA
Broad-tailed Grassbird,Schoenicola platyurus,1,NA,NA,NA,NA,NA,NA
Bronze-winged Jacana,Metopidius indicus,1,NA,NA,NA,NA,NA,NA
Bronzed Drongo,Dicrurus aeneus,1,NA,NA,NA,NA,NA,NA
Brooks's Leaf Warbler,Phylloscopus subviridis,NA,NA,NA,1,NA,NA,NA
Brown-backed Needletail,Hirundapus giganteus,1,NA,NA,NA,NA,NA,NA
Brown-breasted Flycatcher,Muscicapa muttui,NA,NA,NA,1,NA,NA,NA
Brown-capped Laughingthrush,Trochalopteron austeni,1,NA,NA,NA,NA,NA,NA
Brown-capped Woodpecker,Yungipicus nanus,1,NA,NA,NA,NA,NA,NA
Brown-cheeked Fulvetta,Alcippe poioicephala,1,NA,NA,NA,NA,NA,NA
Brown-cheeked Rail,Rallus indicus,NA,NA,NA,1,NA,NA,NA
Brown-fronted Woodpecker,Dendrocoptes auriceps,1,1,NA,NA,NA,NA,NA
Brown-headed Barbet,Psilopogon zeylanicus,1,NA,NA,NA,NA,NA,NA
Brown-headed Gull,Chroicocephalus brunnicephalus,NA,NA,1,1,NA,NA,1
Brown-rumped Minivet,Pericrocotus cantonensis,NA,NA,NA,NA,NA,1,NA
Brown-winged Kingfisher,Pelargopsis amauroptera,1,NA,NA,NA,NA,NA,NA
Brown Accentor,Prunella fulvescens,1,1,NA,NA,NA,NA,NA
Brown Boobook,Ninox scutulata,1,NA,NA,NA,NA,NA,NA
Brown Booby,Sula leucogaster,NA,NA,NA,1,NA,1,NA
Brown Bullfinch,Pyrrhula nipalensis,1,1,NA,NA,NA,NA,NA
Brown Bush Warbler,Locustella luteoventris,1,1,NA,NA,NA,NA,NA
Brown Crake,Zapornia akool,1,NA,NA,NA,NA,NA,NA
Brown Dipper,Cinclus pallasii,1,1,NA,NA,NA,NA,NA
Brown Fish-Owl,Ketupa zeylonensis,1,NA,NA,NA,NA,NA,NA
Brown Hornbill,Anorrhinus austeni,1,NA,NA,NA,NA,NA,NA
Brown Noddy,Anous stolidus,1,NA,NA,NA,NA,NA,NA
Brown Parrotbill,Cholornis unicolor,1,NA,NA,NA,NA,NA,NA
Brown Rock Chat,Oenanthe fusca,1,NA,NA,NA,NA,NA,NA
Brown Shrike,Lanius cristatus,NA,NA,NA,1,NA,NA,NA
Brown Skua,Stercorarius antarcticus,NA,NA,1,NA,NA,1,NA
Brown Wood-Owl,Strix leptogrammica,1,NA,NA,NA,NA,NA,NA
Brownish-flanked Bush Warbler,Horornis fortipes,1,1,NA,NA,NA,NA,NA
Buff-barred Warbler,Phylloscopus pulcher,1,1,NA,NA,NA,NA,NA
Buff-breasted Babbler,Pellorneum tickelli,1,NA,NA,NA,NA,NA,NA
Buff-breasted Sandpiper,Calidris subruficollis,NA,NA,NA,NA,NA,1,NA
Buff-chested Babbler,Cyanoderma ambiguum,1,NA,NA,NA,NA,NA,NA
Buff-throated Warbler,Phylloscopus subaffinis,NA,NA,NA,NA,NA,1,NA
Buffy Fish-Owl,Ketupa ketupu,1,NA,NA,NA,NA,NA,NA
Bugun Liocichla,Liocichla bugunorum,1,NA,NA,NA,NA,NA,NA
Burmese Shrike,Lanius collurioides,NA,NA,NA,1,NA,NA,NA
Cachar Bulbul,Iole cacharensis,1,NA,NA,NA,NA,NA,NA
Carrion Crow,Corvus corone,1,NA,NA,NA,NA,NA,NA
Caspian Gull,Larus cachinnans,NA,NA,NA,1,NA,NA,NA
Caspian Plover,Charadrius asiaticus,NA,NA,NA,NA,1,NA,NA
Caspian Tern,Hydroprogne caspia,1,NA,NA,NA,NA,NA,NA
Cattle Egret,Bubulcus ibis,1,NA,NA,NA,NA,NA,NA
Cetti's Warbler,Cettia cetti,NA,NA,NA,1,NA,NA,NA
Changeable Hawk-Eagle,Nisaetus cirrhatus,1,NA,NA,NA,NA,NA,NA
Cheer Pheasant,Catreus wallichii,1,NA,NA,NA,NA,NA,NA
Chestnut-backed Laughingthrush,Ianthocincla nuchalis,1,NA,NA,NA,NA,NA,NA
Chestnut-bellied Nuthatch,Sitta cinnamoventris,1,NA,NA,NA,NA,NA,NA
Chestnut-bellied Rock-Thrush,Monticola rufiventris,1,1,NA,NA,NA,NA,NA
Chestnut-bellied Sandgrouse,Pterocles exustus,1,NA,NA,NA,NA,NA,NA
Chestnut-breasted Partridge,Arborophila mandellii,1,NA,NA,NA,NA,NA,NA
Chestnut-capped Babbler,Timalia pileata,1,NA,NA,NA,NA,NA,NA
Chestnut-cheeked Starling,Agropsar philippensis,NA,NA,NA,NA,NA,1,NA
Chestnut-crowned Bush Warbler,Cettia major,1,1,NA,NA,NA,NA,NA
Chestnut-crowned Laughingthrush,Trochalopteron erythrocephalum,1,1,NA,NA,NA,NA,NA
Chestnut-crowned Warbler,Phylloscopus castaniceps,1,1,NA,NA,NA,NA,NA
Chestnut-eared Bunting,Emberiza fucata,1,NA,1,1,NA,NA,NA
Chestnut-flanked White-eye,Zosterops erythropleurus,NA,NA,NA,1,NA,NA,NA
Chestnut-headed Bee-eater,Merops leschenaulti,1,NA,1,1,NA,NA,NA
Chestnut-headed Tesia,Cettia castaneocoronata,1,NA,NA,NA,NA,NA,NA
Chestnut-tailed Minla,Actinodura strigula,1,1,NA,NA,NA,NA,NA
Chestnut-tailed Starling,Sturnia malabarica,NA,NA,1,1,NA,NA,NA
Chestnut-vented Nuthatch,Sitta nagaensis,1,1,NA,NA,NA,NA,NA
Chestnut-winged Cuckoo,Clamator coromandus,NA,NA,1,1,NA,NA,NA
